Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface
New Kandy Road,trunk,1,8.307717,80.47305,8.307165,80.471325,200.0,99.81,2,50,asphalt
New Kandy Road,trunk,2,8.307165,80.471325,8.306813,80.469544,200.0,299.14,2,50,asphalt
New Kandy Road,trunk,3,8.306813,80.469544,8.306634,80.467737,200.0,497.92,2,50,asphalt
New Kandy Road,trunk,4,8.306634,80.467737,8.306513,80.465928,200.0,696.65,2,50,asphalt
New Kandy Road,trunk,5,8.306513,80.465928,8.306666,80.464118,200.0,892.68,2,50,asphalt
New Kandy Road,trunk,6,8.306666,80.464118,8.306836,80.46231,200.0,1088.41,2,50,asphalt
New Kandy Road,trunk,7,8.306836,80.46231,8.307014,80.460503,200.0,1285.17,2,50,asphalt
New Kandy Road,trunk,8,8.307014,80.460503,8.307197,80.458696,200.0,1199.03,2,50,asphalt
New Kandy Road,trunk,9,8.307197,80.458696,8.307365,80.456888,200.0,1007.09,2,50,asphalt
New Kandy Road,trunk,10,8.307365,80.456888,8.307425,80.455078,200.0,817.27,2,50,asphalt
New Kandy Road,trunk,11,8.307425,80.455078,8.306947,80.453327,200.0,622.1,2,50,asphalt
New Kandy Road,trunk,12,8.306947,80.453327,8.306482,80.451572,200.0,422.59,2,50,asphalt
New Kandy Road,trunk,13,8.306482,80.451572,8.305939,80.449841,200.0,223.86,2,50,asphalt
New Kandy Road,trunk,14,8.305939,80.449841,8.305399,80.448846,124.82,62.43,2,50,asphalt
D. S. Senanayake Mawatha,primary,1,8.308129,80.407333,8.309259,80.405915,200.0,99.97,2,50,asphalt
D. S. Senanayake Mawatha,primary,2,8.309259,80.405915,8.310408,80.404512,200.0,299.97,2,50,asphalt
D. S. Senanayake Mawatha,primary,3,8.310408,80.404512,8.311813,80.403373,200.0,498.42,2,50,asphalt
D. S. Senanayake Mawatha,primary,4,8.311813,80.403373,8.313291,80.402326,200.0,694.87,2,50,asphalt
D. S. Senanayake Mawatha,primary,5,8.313291,80.402326,8.314707,80.401196,200.0,577.24,2,50,asphalt
D. S. Senanayake Mawatha,primary,6,8.314707,80.401196,8.31603,80.399959,200.0,378.68,2,50,asphalt
D. S. Senanayake Mawatha,primary,7,8.31603,80.399959,8.317217,80.39859,200.0,179.35,2,50,asphalt
D. S. Senanayake Mawatha,primary,8,8.317217,80.39859,8.317648,80.398013,79.45,39.76,2,50,asphalt
Anagarika Dharmapala Mawatha,primary,1,8.327044,80.410639,8.328662,80.411413,200.0,99.42,2,50,asphalt
Anagarika Dharmapala Mawatha,primary,2,8.328662,80.411413,8.330268,80.412194,200.0,296.85,2,50,asphalt
Anagarika Dharmapala Mawatha,primary,3,8.330268,80.412194,8.331868,80.413015,200.0,336.08,2,50,asphalt
Anagarika Dharmapala Mawatha,primary,4,8.331868,80.413015,8.333533,80.413715,200.0,137.08,2,50,asphalt
Maithripala Senanayake Mawatha (Main Street),trunk,1,8.341625,80.411734,8.342314,80.411876,78.59,38.65,2,50,asphalt
Kandy-Jaffna Road,trunk,1,8.358694,80.511679,8.360471,80.511363,200.0,99.87,2,50,asphalt
Kandy-Jaffna Road,trunk,2,8.360471,80.511363,8.362221,80.510908,200.0,299.4,2,50,asphalt
Kandy-Jaffna Road,trunk,3,8.362221,80.510908,8.363973,80.510511,200.0,498.46,2,50,asphalt
Kandy-Jaffna Road,trunk,4,8.363973,80.510511,8.365774,80.510346,200.0,697.09,2,50,asphalt
Kandy-Jaffna Road,trunk,5,8.365774,80.510346,8.36758,80.510237,200.0,895.81,2,50,asphalt
Kandy-Jaffna Road,trunk,6,8.36758,80.510237,8.369376,80.510031,200.0,1095.09,2,50,asphalt
Kandy-Jaffna Road,trunk,7,8.369376,80.510031,8.371176,80.509845,200.0,1294.86,2,50,asphalt
Kandy-Jaffna Road,trunk,8,8.371176,80.509845,8.372976,80.509661,200.0,1494.67,2,50,asphalt
Kandy-Jaffna Road,trunk,9,8.372976,80.509661,8.374773,80.509469,200.0,1694.34,2,50,asphalt
Kandy-Jaffna Road,trunk,10,8.374773,80.509469,8.376572,80.509281,200.0,1894.25,2,50,asphalt
Kandy-Jaffna Road,trunk,11,8.376572,80.509281,8.378372,80.509104,200.0,2094.14,2,50,asphalt
Kandy-Jaffna Road,trunk,12,8.378372,80.509104,8.380173,80.508931,200.0,2294.03,2,50,asphalt
Kandy-Jaffna Road,trunk,13,8.380173,80.508931,8.381972,80.50874,200.0,2493.95,2,50,asphalt
Kandy-Jaffna Road,trunk,14,8.381972,80.50874,8.383674,80.508204,200.0,2692.84,2,50,asphalt
Kandy-Jaffna Road,trunk,15,8.383674,80.508204,8.385144,80.507145,200.0,2877.01,2,50,asphalt
Kandy-Jaffna Road,trunk,16,8.385144,80.507145,8.386732,80.506345,200.0,3058.49,2,50,asphalt
Kandy-Jaffna Road,trunk,17,8.386732,80.506345,8.38854,80.506281,200.0,3253.93,2,50,asphalt
Kandy-Jaffna Road,trunk,18,8.38854,80.506281,8.390254,80.505827,200.0,3451.54,2,50,asphalt
Kandy-Jaffna Road,trunk,19,8.390254,80.505827,8.391806,80.504894,200.0,3642.07,2,50,asphalt
Kandy-Jaffna Road,trunk,20,8.391806,80.504894,8.393424,80.504107,200.0,3831.72,2,50,asphalt
Kandy-Jaffna Road,trunk,21,8.393424,80.504107,8.395228,80.503975,200.0,4028.36,2,50,asphalt
Kandy-Jaffna Road,trunk,22,8.395228,80.503975,8.397034,80.503876,200.0,4226.13,2,50,asphalt
Kandy-Jaffna Road,trunk,23,8.397034,80.503876,8.39884,80.503776,200.0,4424.03,2,50,asphalt
Kandy-Jaffna Road,trunk,24,8.39884,80.503776,8.400647,80.50369,200.0,4622.04,2,50,asphalt
Kandy-Jaffna Road,trunk,25,8.400647,80.50369,8.402454,80.503601,200.0,4820.04,2,50,asphalt
Kandy-Jaffna Road,trunk,26,8.402454,80.503601,8.404261,80.503505,200.0,5018.35,2,50,asphalt
Kandy-Jaffna Road,trunk,27,8.404261,80.503505,8.406067,80.503416,200.0,5216.8,2,50,asphalt
Kandy-Jaffna Road,trunk,28,8.406067,80.503416,8.407874,80.503323,200.0,5415.27,2,50,asphalt
Kandy-Jaffna Road,trunk,29,8.407874,80.503323,8.40968,80.503228,200.0,5613.92,2,50,asphalt
Kandy-Jaffna Road,trunk,30,8.40968,80.503228,8.411487,80.503126,200.0,5812.74,2,50,asphalt
Kandy-Jaffna Road,trunk,31,8.411487,80.503126,8.413293,80.503031,200.0,6011.63,2,50,asphalt
Kandy-Jaffna Road,trunk,32,8.413293,80.503031,8.4151,80.502939,200.0,6210.52,2,50,asphalt
Kandy-Jaffna Road,trunk,33,8.4151,80.502939,8.416906,80.502846,200.0,6409.47,2,50,asphalt
Kandy-Jaffna Road,trunk,34,8.416906,80.502846,8.418714,80.502785,200.0,6608.43,2,50,asphalt
