Area,Model Script,Balanced Accuracy (%),Testing Accuracy (%),Training Accuracy (%),Precision (%),Recall (%),F1 Score (%)
Ella,random_forest.py,,,,,,
Ella,random_forest_with_smote_data.py,,,,,,
Ella,tuned_random_forest.py,,,,,,
Ella,tuned_random_forest_with_bo_smote.py,,,,,,
Ella,tuned_random_forest_with_smote.py,,,,,,
Ella,tuned_xgboost.py,,,,,,
Ella,tuned_xgboost_with_bo_smote.py,,,,,,
Ella,tuned_xgboost_with_smote.py,,,,,,
Ella,xgboost_basic.py,,,,,,
Ella,xgboost_with_smote_data.py,,,,,,
Anuradhapura,random_forest.py,57.43,,,,,20.29
Anuradhapura,random_forest_with_smote_data.py,,,,,,
Anuradhapura,tuned_random_forest.py,,,,,,
Anuradhapura,tuned_random_forest_with_bo_smote.py,,,,,,
Anuradhapura,tuned_random_forest_with_smote.py,,,,,,
Anuradhapura,tuned_xgboost.py,,,,,,
Anuradhapura,tuned_xgboost_with_bo_smote.py,,,,,,
Anuradhapura,tuned_xgboost_with_smote.py,,,,,,
Anuradhapura,xgboost_basic.py,,,,,,
Anuradhapura,xgboost_with_smote_data.py,,,,,,
Kiribathgoda,random_forest.py,,,,,,
Kiribathgoda,random_forest_with_smote_data.py,,,,,,
Kiribathgoda,tuned_random_forest.py,,,,,,
Kiribathgoda,tuned_random_forest_with_bo_smote.py,,,,,,
Kiribathgoda,tuned_random_forest_with_smote.py,,,,,,
Kiribathgoda,tuned_xgboost.py,63.89,72.73,84.09,33.33,50.0,40.0
Kiribathgoda,tuned_xgboost_with_bo_smote.py,66.67,77.27,94.32,40.0,50.0,44.44
Kiribathgoda,tuned_xgboost_with_smote.py,66.67,77.27,89.77,40.0,50.0,44.44
Kiribathgoda,xgboost_basic.py,59.72,81.82,96.59,50.0,25.0,33.33
Kiribathgoda,xgboost_with_smote_data.py,,,,,,
